"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
85,"RL",57,8846,"Pave","IR1","Lvl","CulDSac",1,"CollgCr","Norm","Norm","1Fam","SFoyer",5,5,124,46,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,7,298,2,0,572,870,"GasA",5,"Y","SBrkr",914,0,0,914,0,0,1,0,1,3,5,"Typ",0,"Detchd",98,"Unf",2,576,3,3,"Y",0,0,0,0,0,0,0,7,0,"WD","Normal",148000
60,"FV",102,11143,"Pave","IR1","Lvl","Corner",1,"Somerst","Norm","Norm","1Fam","2Story",8,5,132,55,"Gable","CompShg","CemntBd","CmentBd","None",0,3,3,"PConc",3,3,2,2,0,2,0,1580,1580,"GasA",5,"Y","SBrkr",1580,886,0,2466,0,0,3,0,1,4,8,"Typ",1,"Attchd",104,"RFn",2,610,3,3,"Y",159,214,0,0,0,0,0,12,1,"WD","Normal",340000
20,"RL",88,11394,"Pave","Reg","Lvl","Corner",1,"StoneBr","Norm","Norm","1Fam","1Story",9,2,138,60,"Hip","CompShg","VinylSd","VinylSd","Stone",350,3,3,"PConc",4,3,4,7,1445,2,0,411,1856,"GasA",5,"Y","SBrkr",1856,0,0,1856,1,0,1,1,1,5,8,"Typ",1,"Attchd",110,"Fin",3,834,3,3,"Y",113,0,0,0,0,0,0,6,4,"New","Partial",394432
60,"RL",60,8123,"Pave","IR1","Lvl","Inside",1,"Gilbert","RRAn","Norm","1Fam","2Story",6,5,128,50,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,2,3,"PConc",3,3,2,2,0,2,0,982,982,"GasA",5,"Y","SBrkr",1007,793,0,1800,0,0,2,1,1,3,7,"Typ",1,"Attchd",100,"Fin",2,463,3,3,"Y",100,63,0,0,0,0,0,6,3,"WD","Normal",179000
50,"RL",50,5000,"Pave","Reg","Lvl","Inside",1,"SWISU","Norm","Norm","1Fam","1.5Fin",5,6,52,0,"Gable","CompShg","BrkFace","Wd Sdng","None",0,2,3,"BrkTil",2,3,2,3,218,2,0,808,1026,"GasA",3,"Y","SBrkr",1026,665,0,1691,0,0,2,0,1,4,6,"Typ",1,"Detchd",24,"Unf",1,308,3,3,"Y",0,0,242,0,0,0,0,5,4,"WD","Normal",127000
20,"FV",60,7200,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","1Story",7,5,134,56,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,4,2,2,0,2,0,1293,1293,"GasA",5,"Y","SBrkr",1301,0,0,1301,1,0,2,0,1,4,5,"Typ",1,"Attchd",106,"RFn",2,572,3,3,"Y",216,121,0,0,0,0,0,8,0,"New","Partial",187750
60,"RL",79,9245,"Pave","IR1","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","2Story",7,5,134,56,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,2,0,2,0,939,939,"GasA",5,"Y","SBrkr",939,858,0,1797,0,0,2,1,1,4,8,"Typ",0,"Attchd",106,"RFn",2,639,3,3,"Y",144,53,0,0,0,0,0,4,1,"WD","Normal",213500
45,"RH",60,9000,"Pave","Reg","Lvl","Corner",1,"SawyerW","Norm","Norm","1Fam","1.5Unf",6,3,56,0,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"BrkTil",1,2,2,2,0,2,0,784,784,"GasA",3,"N","FuseA",784,0,0,784,0,0,1,0,1,3,5,"Typ",0,"Detchd",50,"Unf",2,360,2,2,"N",0,0,91,0,0,0,0,10,3,"WD","Normal",76000
60,"RL",92.006,53107,"Pave","IR2","Low","Corner",2,"ClearCr","Feedr","Norm","1Fam","2Story",6,5,120,42,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",3,3,4,7,985,2,0,595,1580,"GasA",5,"Y","SBrkr",1079,874,0,1953,1,0,2,1,1,4,9,"Typ",2,"Attchd",92,"Fin",2,501,3,3,"Y",216,231,0,0,0,0,0,6,1,"WD","Normal",240000
120,"RL",43,3182,"Pave","Reg","Lvl","Inside",1,"Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,132,55,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,3,3,"PConc",3,3,2,7,24,2,0,1232,1256,"GasA",5,"Y","SBrkr",1269,0,0,1269,0,0,2,0,1,4,6,"Typ",1,"Attchd",104,"Fin",2,430,3,3,"Y",146,20,0,0,144,0,0,4,4,"WD","Normal",192000
50,"RL",58,8410,"Pave","Reg","Lvl","FR2",1,"Edwards","Feedr","Norm","1Fam","1.5Fin",5,3,38,46,"Gambrel","CompShg","Wd Sdng","VinylSd","None",0,2,2,"PConc",2,3,2,2,0,2,0,658,658,"GasA",3,"Y","SBrkr",658,526,0,1184,0,0,1,0,1,3,8,"Typ",0,"Detchd",46.6464,"Unf",0,0,2.708,2.604,"N",0,151,0,0,0,0,0,5,0,"WD","AdjLand",81000
80,"RL",72,7200,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","1Fam","SLvl",6,6,104,26,"Hip","CompShg","MetalSd","MetalSd","BrkFace",255,2,3,"CBlock",2,3,4,6,631,2,0,410,1041,"GasA",5,"Y","SBrkr",1125,0,0,1125,1,0,1,0,1,3,6,"Typ",1,"Detchd",77,"Unf",1,352,3,3,"Y",296,0,0,0,0,0,0,10,3,"WD","Abnorml",125000
20,"RL",93,9382,"Pave","IR1","Lvl","CulDSac",1,"CollgCr","Norm","Norm","1Fam","1Story",7,5,127,50,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,3,3,"PConc",3,3,2,2,0,2,0,1468,1468,"GasA",5,"Y","SBrkr",1479,0,0,1479,0,0,2,0,1,4,6,"Typ",0,"Attchd",99,"RFn",2,577,3,3,"Y",120,25,0,0,0,0,0,7,2,"WD","Normal",191000
60,"RL",96,12474,"Pave","Reg","Lvl","Inside",1,"NridgHt","Norm","Norm","1Fam","2Story",10,5,135,58,"Gable","CompShg","VinylSd","VinylSd","Stone",272,4,3,"PConc",4,3,4,7,1280,2,0,402,1682,"GasA",5,"Y","SBrkr",1742,590,0,2332,1,0,2,1,1,5,9,"Typ",1,"BuiltIn",108,"Fin",3,846,3,3,"Y",196,134,0,0,0,0,0,8,2,"New","Partial",426000
50,"RL",50,8405,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","1Fam","1.5Fin",5,8,28,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,4,2,4,241,5,391,229,861,"GasA",5,"Y","SBrkr",961,406,0,1367,1,0,1,0,1,3,7,"Typ",0,"Detchd",78,"Unf",1,384,3,3,"Y",0,130,112,0,0,0,0,4,2,"WD","Normal",119000
60,"RL",71,12209,"Pave","IR1","Lvl","CulDSac",1,"Mitchel","Norm","Norm","1Fam","2Story",6,5,129,52,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",4,3,2,6,690,2,0,114,804,"GasA",5,"Y","SBrkr",804,1157,0,1961,1,0,2,1,1,4,7,"Typ",1,"BuiltIn",101,"Fin",2,560,3,3,"Y",125,192,0,0,0,0,0,6,3,"WD","Normal",215000
20,"RL",69.6530318681319,8339,"Pave","IR1","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,7,87,9,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"Slab",1.946,2.95,2.34,2.77533333333333,0,2.326,0,0,0,"GasA",3,"Y","SBrkr",882,0,0,882,0,0,1,0,1,3,5,"Typ",0,"Attchd",59,"RFn",1,294,3,3,"Y",0,0,0,0,0,0,1200,7,1,"WD","Normal",106500
30,"RL",62.2264666666667,7446,"Pave","Reg","Lvl","Corner",1,"BrkSide","Feedr","Norm","1Fam","1Story",4,5,69,0,"Gable","CompShg","WdShing","Wd Shng","None",0,2,3,"CBlock",2,3,2,4,266,2,0,522,788,"GasA",3,"Y","FuseA",788,0,0,788,0,0,1,0,1,3,4,"Typ",2,"Detchd",43.2143333333333,"Unf",0,0,2.772,2.814,"Y",0,0,0,0,0,0,0,4,0,"WD","Abnorml",100000
50,"RL",60,10134,"Pave","Reg","Lvl","Inside",1,"OldTown","Norm","Norm","1Fam","1.5Fin",5,6,68,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",2,3,2,2,0,2,0,735,735,"GasA",4,"Y","FuseA",735,299,0,1034,0,0,1,0,1,3,5,"Typ",0,"Detchd",40,"Unf",1,240,3,3,"Y",0,39,0,0,0,0,0,7,1,"WD","Normal",109000
20,"RL",68,9571,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","1Fam","1Story",5,6,84,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",2,3,4,5,739,2,0,405,1144,"GasA",3,"Y","SBrkr",1144,0,0,1144,1,0,1,0,1,3,6,"Typ",0,"Attchd",56,"Unf",1,596,3,3,"Y",44,0,0,0,0,0,0,6,4,"WD","Normal",129000
20,"RL",60,7200,"Pave","Reg","Low","Inside",1,"CollgCr","Norm","Norm","1Fam","1Story",5,5,100,22,"Hip","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",2,3,4,4,777,2,0,117,894,"GasA",3,"Y","SBrkr",894,0,0,894,0,0,1,0,1,3,6,"Typ",0,"Detchd",85,"RFn",2,600,3,3,"Y",215,0,0,0,0,0,0,9,3,"WD","Normal",123000
60,"RL",69,7590,"Pave","Reg","Lvl","Inside",1,"NAmes","PosN","Norm","1Fam","2Story",5,5,90,12,"Gable","CompShg","VinylSd","VinylSd","BrkFace",288,2,3,"CBlock",2,3,2,6,540,2,0,324,864,"GasA",3,"Y","SBrkr",876,936,0,1812,0,0,2,0,1,3,8,"Typ",1,"Attchd",62,"RFn",1,264,3,3,"Y",0,168,0,0,0,0,0,7,1,"WD","Normal",169500
30,"RM",60,8967,"Pave","Reg","Lvl","Corner",1,"IDOTRR","Norm","Norm","1Fam","1Story",5,2,48,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,2,"BrkTil",1,1,2,2,0,2,0,961,961,"GasA",4,"Y","Mix",1077,0,0,1077,0,0,1,0,1,3,6,"Maj2",0,"Detchd",20,"Unf",1,338,1,1,"N",0,0,0,0,0,0,0,11,1,"WD","Abnorml",67000
60,"FV",65,8125,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","2Story",7,5,134,57,"Gable","CompShg","CemntBd","CmentBd","Stone",100,3,3,"PConc",3,3,2,7,812,2,0,280,1092,"GasA",5,"Y","SBrkr",1112,438,0,1550,1,0,2,0,1,4,7,"Typ",0,"Attchd",107,"Fin",2,438,3,3,"Y",0,168,0,0,0,0,0,10,3,"WD","Normal",241000
120,"RL",38,14963,"Pave","IR2","Lvl","Inside",1,"Veenker","Norm","Norm","TwnhsE","1Story",8,5,124,46,"Gable","CompShg","BrkFace","BrkFace","None",0,3,3,"PConc",3,3,2,7,786,2,0,474,1260,"GasA",5,"Y","SBrkr",1288,0,0,1288,1,0,1,1,1,5,4,"Typ",2,"Attchd",96,"Fin",2,500,3,3,"Y",120,30,0,0,224,0,0,12,2,"WD","Normal",245500
20,"RL",65,8767,"Pave","IR1","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","1Story",7,5,133,55,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,7,24,2,0,1286,1310,"GasA",5,"Y","SBrkr",1310,0,0,1310,0,0,2,0,1,4,6,"Typ",1,"Attchd",105,"Fin",2,400,3,3,"Y",0,0,0,0,0,0,0,7,0,"New","Partial",164990
30,"RL",60,10200,"Pave","Reg","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","1Story",5,8,68,47,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",2,3,2,2,0,2,0,672,672,"GasA",5,"Y","SBrkr",672,0,0,672,0,0,1,0,1,3,4,"Typ",0,"Detchd",40,"Unf",1,240,3,3,"N",168,0,0,0,0,0,0,8,2,"WD","Normal",108000
60,"RL",93,12090,"Pave","Reg","Lvl","Corner",1,"NoRidge","Norm","Norm","1Fam","2Story",8,5,126,48,"Hip","CompShg","VinylSd","VinylSd","BrkFace",650,3,3,"PConc",3,3,2,2,0,2,0,1141,1141,"GasA",4,"Y","SBrkr",1165,1098,0,2263,0,0,2,1,1,4,10,"Typ",1,"BuiltIn",98,"Fin",2,420,3,3,"Y",144,123,0,0,0,0,0,7,0,"WD","Abnorml",258000
60,"RL",73.1321190476191,10364,"Pave","IR1","Lvl","Inside",1,"Gilbert","Norm","Norm","1Fam","2Story",6,5,123,46,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"PConc",3,3,2,2,0,2,0,806,806,"GasA",4,"Y","SBrkr",806,766,0,1572,0,0,2,1,1,3,7,"Typ",1,"BuiltIn",95,"Fin",2,373,3,3,"Y",0,40,0,0,0,0,0,5,1,"WD","Normal",168000
20,"RL",83.3021666666667,9991,"Pave","IR1","Lvl","Corner",1,"Sawyer","Feedr","Norm","1Fam","1Story",4,4,104,43,"Gable","CompShg","Plywood","Plywood","None",0,2,3,"CBlock",2,3,2,5,1116,2,0,165,1281,"GasA",5,"Y","SBrkr",1620,0,0,1620,1,0,2,0,1,3,8,"Min1",1,"Attchd",93,"Unf",2,490,3,3,"Y",120,78,0,0,0,0,0,6,3,"WD","Normal",150000
50,"RL",51,10480,"Pave","Reg","Lvl","Inside",1,"SWISU","Norm","Norm","1Fam","1.5Fin",6,5,64,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,1064,1064,"GasA",5,"Y","FuseA",1166,0,473,1639,0,0,1,0,1,3,6,"Maj2",0,"Detchd",36,"Unf",1,240,3,3,"Y",0,0,0,0,0,0,0,3,2,"WD","Normal",115000
70,"RL",63,15576,"Pave","Reg","Lvl","Inside",1,"Crawfor","Norm","Norm","1Fam","2Story",6,7,43,26,"Gable","CompShg","Wd Sdng","Plywood","None",0,2,3,"BrkTil",3,3,2,2,0,2,0,840,840,"GasA",5,"Y","SBrkr",840,840,0,1680,0,0,2,0,1,3,8,"Typ",0,"Attchd",60,"Unf",1,308,3,3,"Y",0,0,160,0,0,0,0,3,2,"WD","Normal",177000
60,"RL",109,14154,"Pave","Reg","Lvl","Corner",1,"NridgHt","Norm","Norm","1Fam","2Story",7,5,134,56,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,3,3,"PConc",4,4,2,2,0,2,0,1063,1063,"GasA",5,"Y","SBrkr",1071,1101,0,2172,0,0,2,1,1,4,9,"Typ",1,"Attchd",106,"RFn",3,947,3,3,"Y",192,62,0,0,0,0,0,8,1,"New","Partial",280000
60,"FV",85,10800,"Pave","Reg","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","2Story",8,5,135,58,"Gable","CompShg","VinylSd","VinylSd","Stone",100,3,3,"PConc",4,3,2,7,789,2,0,245,1034,"GasA",5,"Y","SBrkr",1050,1028,0,2078,1,0,2,1,1,5,8,"Typ",1,"Attchd",108,"Fin",3,836,3,3,"Y",0,102,0,0,0,0,0,4,2,"New","Partial",339750
20,"RL",68,9571,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","1Fam","1Story",5,3,86,8,"Gable","CompShg","BrkComm","Brk Cmn","None",0,2,2,"CBlock",2,2,2,2,0,2,0,1276,1276,"GasA",3,"Y","FuseA",1276,0,0,1276,0,0,1,0,1,3,5,"Mod",0,"Attchd",58,"Unf",1,350,3,3,"Y",0,0,0,0,0,0,0,6,3,"COD","Abnorml",60000
190,"RL",100,34650,"Pave","Reg","Bnk","Inside",1,"Gilbert","Norm","Norm","2fmCon","1Story",5,5,83,5,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",2,3,3,4,1056,2,0,0,1056,"GasA",3,"N","SBrkr",1056,0,0,1056,1,0,1,0,1,3,5,"Typ",0,"Attchd",55,"Fin",2,572,3,3,"Y",264,0,0,0,0,0,0,1,0,"WD","Normal",145000
20,"FV",66.657,4403,"Pave","IR2","Lvl","Inside",1,"Somerst","Norm","Norm","1Fam","1Story",7,5,137,59,"Gable","CompShg","MetalSd","MetalSd","Stone",432,4,3,"PConc",4,3,4,7,578,2,0,892,1470,"GasA",5,"Y","SBrkr",1478,0,0,1478,1,0,2,1,1,4,7,"Typ",1,"Attchd",109,"Fin",2,484,3,3,"Y",0,144,0,0,0,0,0,6,4,"New","Partial",222000
30,"RM",56,8960,"Pave","Reg","Lvl","Inside",1,"OldTown","Artery","Norm","1Fam","1Story",5,6,55,0,"Gable","CompShg","WdShing","Wd Shng","None",0,2,3,"CBlock",2,3,2,2,0,2,0,1008,1008,"GasA",4,"Y","FuseA",1028,0,0,1028,0,0,1,0,1,3,5,"Typ",1,"Detchd",27,"Unf",2,360,3,3,"Y",0,0,130,0,0,0,0,3,4,"WD","Normal",115000
60,"RL",59,11228,"Pave","IR2","Lvl","CulDSac",1,"SawyerW","Norm","Norm","1Fam","2Story",7,5,121,43,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,2,5,50,7,531,499,1080,"GasA",5,"Y","SBrkr",1080,1017,0,2097,0,1,2,1,1,4,9,"Typ",1,"Attchd",93,"Unf",3,678,3,3,"Y",196,187,0,0,0,0,0,12,2,"WD","Normal",228000
20,"RL",73,8899,"Pave","IR1","Lvl","Inside",1,"Gilbert","Norm","Norm","1Fam","1Story",7,5,135,57,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,7,24,2,0,1316,1340,"GasA",5,"Y","SBrkr",1340,0,0,1340,0,0,2,0,1,4,6,"Typ",0,"Attchd",107,"Fin",2,396,3,3,"Y",100,30,0,0,0,0,0,8,1,"New","Partial",181134
60,"RL",74,7844,"Pave","Reg","Lvl","Inside",1,"Sawyer","Norm","Norm","1Fam","2Story",6,7,106,28,"Hip","CompShg","HdBoard","HdBoard","BrkFace",203,2,3,"CBlock",2,3,2,6,209,2,0,463,672,"GasA",3,"Y","SBrkr",672,728,0,1400,0,0,1,1,1,3,6,"Typ",1,"Attchd",78,"Fin",2,440,3,3,"Y",0,0,0,0,0,0,0,3,0,"WD","Normal",149500
70,"RL",86,22420,"Pave","IR1","Lvl","Inside",1,"Crawfor","Feedr","Norm","1Fam","2Story",6,6,46,0,"Hip","CompShg","Wd Sdng","Stucco","None",0,2,3,"BrkTil",3,3,2,5,1128,2,0,242,1370,"GasW",3,"N","FuseA",1370,1254,0,2624,1,0,2,1,1,3,10,"Typ",1,"Detchd",18,"Unf",3,864,3,3,"N",0,0,0,0,0,0,0,11,1,"WD","Normal",239000
50,"RL",60,8160,"Pave","Reg","Lvl","Inside",1,"Edwards","Norm","Norm","1Fam","1.5Fin",5,6,68,0,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,6,312,2,0,444,756,"GasA",2,"N","FuseF",756,378,0,1134,1,0,1,1,1,3,7,"Typ",0,"Detchd",40,"Unf",1,240,3,3,"P",0,0,0,0,0,0,0,4,1,"WD","AdjLand",126000
20,"RL",65,8450,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",5,6,96,18,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"CBlock",2,3,2,5,775,2,0,281,1056,"GasA",5,"Y","SBrkr",1056,0,0,1056,1,0,1,0,1,3,6,"Typ",1,"Attchd",68,"Unf",1,304,3,3,"Y",0,85,184,0,0,0,0,7,4,"WD","Normal",142000
90,"RM",78,7060,"Pave","Reg","Lvl","Inside",1,"Mitchel","Norm","Norm","Duplex","SFoyer",7,5,125,48,"Gable","CompShg","VinylSd","VinylSd","BrkFace",200,2,4,"PConc",3,4,5,7,1309,2,0,35,1344,"GasA",5,"Y","SBrkr",1344,0,0,1344,2,0,2,0,2,3,8,"Typ",0,"Attchd",97,"Fin",4,784,3,3,"Y",0,0,0,0,0,0,0,11,2,"WD","Alloca",206300
20,"RL",80.6871333333333,16635,"Pave","IR1","Lvl","FR2",1,"NWAmes","Norm","Norm","1Fam","1Story",6,7,105,50,"Gable","CompShg","CemntBd","CmentBd","Stone",126,3,3,"CBlock",3,3,2,6,1246,2,0,356,1602,"GasA",4,"Y","SBrkr",1602,0,0,1602,0,1,2,0,1,4,8,"Typ",1,"Attchd",77,"Fin",2,529,3,3,"Y",240,0,0,0,0,0,0,6,3,"WD","Normal",215000
20,"RL",100,21750,"Pave","Reg","HLS","Inside",2,"Mitchel","Artery","Norm","1Fam","1Story",5,5,82,4,"Hip","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",2,3,2,2,0,2,0,988,988,"GasA",5,"Y","FuseA",988,0,0,988,0,0,1,0,1,3,4,"Typ",0,"Attchd",54,"RFn",2,520,3,3,"N",0,0,0,0,0,0,0,2,2,"WD","Normal",113000
60,"RL",80,9200,"Pave","Reg","Lvl","Inside",1,"NoRidge","Norm","Norm","1Fam","2Story",8,5,126,48,"Gable","CompShg","VinylSd","VinylSd","BrkFace",473,3,3,"PConc",3,3,2,7,986,2,0,484,1470,"GasA",4,"Y","SBrkr",1470,1160,0,2630,1,0,2,1,1,4,8,"Typ",1,"Attchd",98,"Fin",3,696,3,3,"Y",0,66,0,0,0,0,0,6,2,"WD","Normal",315000
20,"RL",72,9000,"Pave","Reg","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",6,5,84,6,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",74,2,3,"CBlock",3,3,2,3,616,2,0,580,1196,"GasA",4,"Y","FuseA",1196,0,0,1196,1,0,1,0,1,3,6,"Typ",1,"Attchd",56,"RFn",1,297,3,3,"Y",0,44,0,0,0,0,0,5,2,"WD","Normal",139000
60,"RM",60,3378,"Pave","Reg","HLS","Inside",1,"OldTown","Norm","Norm","1Fam","2Story",7,8,74,42,"Gable","CompShg","HdBoard","HdBoard","None",0,2,4,"CBlock",2,3,2,2,0,2,0,651,651,"GasA",4,"Y","SBrkr",707,682,0,1389,0,0,1,1,1,3,6,"Typ",2,"Detchd",47,"Unf",1,240,3,3,"P",0,0,126,0,0,0,0,9,3,"WD","Normal",135000
80,"RL",78.49955,12800,"Pave","Reg","Low","Inside",2,"SawyerW","Norm","Norm","1Fam","SLvl",7,5,117,39,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",145,3,3,"PConc",3,3,5,7,1518,2,0,0,1518,"GasA",4,"Y","SBrkr",1644,0,0,1644,1,1,2,0,1,4,5,"Typ",1,"Attchd",89,"Fin",2,569,3,3,"Y",80,0,0,0,396,0,0,8,3,"WD","Normal",275000
20,"RL",77,8593,"Pave","IR1","Lvl","Inside",1,"NAmes","Norm","Norm","1Fam","1Story",4,6,85,7,"Hip","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",2,3,2,4,288,2,0,619,907,"GasA",5,"Y","SBrkr",907,0,0,907,0,0,1,0,1,3,5,"Typ",0,"Detchd",64,"Unf",1,352,3,3,"Y",0,0,0,0,0,0,0,7,2,"WD","Normal",109008
20,"RL",64,6762,"Pave","Reg","Lvl","Inside",1,"CollgCr","Norm","Norm","1Fam","1Story",7,5,135,57,"Gable","CompShg","VinylSd","VinylSd","BrkFace",108,3,3,"PConc",3,3,2,7,664,2,0,544,1208,"GasA",5,"Y","SBrkr",1208,0,0,1208,1,0,2,0,1,4,6,"Typ",0,"Attchd",107,"RFn",2,628,3,3,"Y",105,54,0,0,0,0,0,9,1,"New","Partial",195400
20,"RL",130,11457,"Pave","IR1","Lvl","Corner",1,"Timber","Norm","Norm","1Fam","1Story",6,5,116,38,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",3,3,3,7,1005,2,0,387,1392,"GasA",3,"Y","SBrkr",1412,0,0,1412,1,0,2,0,1,4,6,"Typ",1,"Attchd",88,"Unf",2,576,3,3,"Y",0,0,169,0,0,0,0,3,3,"WD","Normal",175000
160,"RM",21,1680,"Pave","Reg","Lvl","Inside",1,"BrDale","Norm","Norm","Twnhs","2Story",6,5,99,21,"Gable","CompShg","HdBoard","HdBoard","BrkFace",232,2,3,"CBlock",2,3,2,6,387,2,0,96,483,"GasA",3,"Y","SBrkr",483,504,0,987,0,0,1,1,1,3,4,"Typ",0,"Detchd",71,"Unf",1,264,3,3,"Y",0,0,0,0,0,0,0,7,2,"COD","Abnorml",85400
50,"RM",60,5586,"Pave","IR1","Bnk","Inside",1,"OldTown","Feedr","Norm","1Fam","1.5Fin",6,7,48,48,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",2,3,2,2,0,2,0,901,901,"GasA",4,"Y","SBrkr",1088,110,0,1198,0,0,1,0,1,3,7,"Typ",0,"Detchd",39.4173333333333,"Unf",0,0,2.6566,2.772,"N",0,98,0,0,0,0,0,9,2,"ConLD","Abnorml",79900
160,"RM",24,1920,"Pave","Reg","Lvl","Inside",1,"BrDale","Norm","Norm","TwnhsE","2Story",5,5,99,21,"Gable","CompShg","HdBoard","HdBoard","BrkFace",376,2,3,"CBlock",2,3,2,6,471,2,0,294,765,"GasA",5,"Y","SBrkr",765,600,0,1365,1,0,1,1,1,3,6,"Min1",0,"Detchd",71,"Unf",2,440,3,3,"Y",240,36,0,0,0,0,0,8,1,"WD","Normal",122500
60,"RL",100,10839,"Pave","IR1","Lvl","Corner",1,"Gilbert","Norm","Norm","1Fam","2Story",6,5,125,48,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",3,3,2,2,0,2,0,926,926,"GasA",5,"Y","SBrkr",926,678,0,1604,0,0,2,1,1,3,7,"Typ",1,"Attchd",97,"Fin",2,470,3,3,"Y",0,36,0,0,0,0,0,7,2,"WD","Normal",181000
180,"RM",21,1890,"Pave","Reg","Lvl","Inside",1,"MeadowV","Norm","Norm","Twnhs","SFoyer",4,7,100,22,"Gable","CompShg","CemntBd","CmentBd","None",0,2,4,"CBlock",3,3,4,6,495,2,0,135,630,"GasA",4,"Y","SBrkr",630,0,0,630,1,0,1,0,1,3,3,"Typ",0,"Attchd",69.0490463369963,"Unf",0,0,2.818,2.854,"Y",88,0,0,0,0,0,0,6,2,"WD","Normal",81000
60,"RL",43,10667,"Pave","IR2","Lvl","CulDSac",1,"CollgCr","PosN","Norm","1Fam","2Story",7,6,124,46,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,4,7,385,6,344,70,799,"GasA",5,"Y","SBrkr",827,834,0,1661,1,0,2,1,1,4,6,"Typ",1,"Attchd",96,"RFn",2,550,3,3,"Y",158,61,0,0,0,0,0,4,3,"ConLw","Normal",212000
